Image Taken,Image Number,Latitude,Longitude,Time
False,60,32.14174179377423,-134.77716935944449,21:16:41
False,60,32.093671652790185,-134.72111234188677,21:16:42
False,60,32.04547041547061,-134.66500023146895,21:16:43
False,60,31.997274588584396,-134.60899189835166,21:16:44
True,61,31.949016371966,-134.5530083031112,21:16:45
False,61,31.94894231633838,-134.55292246690627,21:16:45
False,61,31.900809043279004,-134.4971804731202,21:16:46
False,61,31.85267423554053,-134.44153267465188,21:16:47
False,61,31.804392219292517,-134.38581069158258,21:16:49
True,62,31.756085418263716,-134.33015591238217,21:16:50
False,62,31.75604104718129,-134.3301048359106,21:16:50
False,62,31.707812215948515,-134.27463516404433,21:16:51
False,62,31.65939586602914,-134.21904507830752,21:16:52
False,62,31.61102004768607,-134.1635964440584,21:16:53
True,63,31.562592232788578,-134.10818283156507,21:16:54
False,63,31.562547623511925,-134.10813183083994,21:16:54
False,63,31.51420297847256,-134.05290749581056,21:16:55
False,63,31.465797358001755,-133.99770722651087,21:16:56
False,63,31.417349364763833,-133.94255213653418,21:16:57
True,64,31.368748141592192,-133.8873161875676,21:16:58
False,64,31.368681049647307,-133.88724000126254,21:16:58
False,64,31.3202424488053,-133.83228186716914,21:16:59
False,64,31.271663207370306,-133.77725687867445,21:17:01
False,64,31.22307034789746,-133.72230895904684,21:17:02
True,65,31.174336006804918,-133.6672935702473,21:17:03
False,65,31.17429105696974,-133.66724286976984,21:17:03
False,65,31.125710206585016,-133.61249265962746,21:17:04
False,65,31.076925401582724,-133.55760445603792,21:17:05
False,65,31.028193376697434,-133.5028671504661,21:17:06
True,66,30.97939630000722,-133.44814803598433,21:17:07
False,66,30.97932912550479,-133.4480727719132,21:17:07
False,66,30.930655483331936,-133.3935827851578,21:17:08
False,66,30.881764151940768,-133.33893979141507,21:17:09
False,66,30.83292897474367,-133.2844499152694,21:17:10
True,67,30.78392822338431,-133.22986567373178,21:17:11
False,67,30.78388347490925,-133.22981586756057,21:17:11
False,67,30.73516668149426,-133.1756373911043,21:17:12
False,67,30.68626015545687,-133.12133716316723,21:17:14
False,67,30.637279650907875,-133.06704404893264,21:17:15
True,68,30.58829731968877,-133.01283785674516,21:17:16
False,68,30.588252157801502,-133.01278791936653,21:17:16
False,68,30.539277185783735,-132.9586785065394,21:17:17
False,68,30.49023151246204,-132.9045793453833,21:17:18
False,68,30.44112469548447,-132.8505009621492,21:17:19
True,69,30.391976230885454,-132.79646473194978,21:17:20
False,69,30.391885755743818,-132.79636534011513,21:17:20
False,69,30.342942051369153,-132.74264153120885,21:17:21
False,69,30.293822903984196,-132.68881220097708,21:17:22
