Image Taken,Image Number,Latitude,Longitude,Time
True,127,-35.53443150950485,-100.45066110912096,23:12:50
False,127,-35.53449415470237,-100.45057741416932,23:12:50
False,127,-35.749136381341444,-100.16245219069259,23:12:55
False,127,-35.96310021086674,-99.87249115388423,23:13:00
False,127,-36.176306957474225,-99.58076709534704,23:13:05
True,128,-36.388574666704635,-99.2874994957638,23:13:11
False,128,-36.38863647944198,-99.287413678474,23:13:11
False,128,-36.599956233537426,-98.99258770458312,23:13:16
False,128,-36.81054087963319,-98.69587609331212,23:13:21
False,128,-37.02035317946513,-98.39729572086529,23:13:26
True,129,-37.22868576514109,-98.09783279203663,23:13:31
False,129,-37.228746488832726,-98.0977450653253,23:13:31
False,129,-37.43664997666464,-97.7958599970242,23:13:36
False,129,-37.64371956787577,-97.49209798275584,23:13:41
False,129,-37.84917293337059,-97.18758901322343,23:13:47
True,130,-38.05441541946671,-96.88021757328703,23:13:52
False,130,-38.05447978729332,-96.88012067023124,23:13:52
False,130,-38.25873372746193,-96.57100228738473,23:13:57
False,130,-38.46205697569988,-96.26001814655899,23:14:02
False,130,-38.66451437435337,-95.94703293396964,23:14:07
True,131,-38.86596178082252,-95.63223435587393,23:14:12
False,131,-38.86602060463301,-95.63214193313794,23:14:12
False,131,-39.06649631303238,-95.3154357214902,23:14:17
False,131,-39.26603261812417,-94.99673568390264,23:14:23
False,131,-39.46460370541539,-94.67604568523787,23:14:28
True,132,-39.662068084003025,-94.35356034609137,23:14:33
False,132,-39.662125998220326,-94.35346523156974,23:14:33
False,132,-39.85853750621418,-94.02906311328678,23:14:38
False,132,-40.053823456164615,-93.70283254729436,23:14:43
False,132,-40.248037126373276,-93.37465136511524,23:14:48
True,133,-40.44136040699152,-93.04417113619638,23:14:53
False,133,-40.441398062760975,-93.04410638864547,23:14:53
False,133,-40.633427185114314,-92.71198098511708,23:14:58
False,133,-40.824616411604595,-92.37738713339482,23:15:04
False,133,-41.01459317314519,-92.04093486714486,23:15:09
True,134,-41.20341125246316,-91.70249574355579,23:15:14
False,134,-41.20346621488478,-91.70239663153792,23:15:14
False,134,-41.391063723260025,-91.36204645644048,23:15:19
False,134,-41.57760243193981,-91.01945458505695,23:15:24
False,134,-41.762950803169396,-90.67482202405984,23:15:29
True,135,-41.94726263089451,-90.32782004579958,23:15:34
False,135,-41.94731616131745,-90.32771863041647,23:15:34
False,135,-42.130378257477375,-89.97870525870732,23:15:40
False,135,-42.311798340151036,-89.62840828374357,23:15:45
False,135,-42.49192481785478,-89.2761345338691,23:15:50
True,136,-42.67146687320928,-88.92043568397943,23:15:55
False,136,-42.671519014313404,-88.92033170937019,23:15:55
False,136,-42.84957099676852,-88.5629448266987,23:16:00
False,136,-43.02636804810398,-88.2033678599301,23:16:05
False,136,-43.20197641584024,-87.8414213033349,23:16:10
